geoid,name,B19013001,"B19013001, Error"
16000US0630812,"Graton, CA",38300,22231
16000US0630882,"Grayson, CA",29787,17046
16000US0630900,"Greeley Hill, CA",57716,35365
16000US0630938,"Greenacres, CA",62043,10937
16000US0630944,"Green Acres, CA",49613,9569
16000US0630987,"Greenfield, CA",46206,6716
16000US0630994,"Greenfield, CA",46506,3581
16000US0631029,"Greenhorn, CA",50987,3223
16000US0631092,"Green Valley, CA",71875,13522
16000US0631099,"Green Valley, CA",66710,33615
16000US0631134,"Greenview, CA",0,0
16000US0631162,"Greenville, CA",30556,10524
16000US0631246,"Grenada, CA",29773,29014
16000US0631260,"Gridley, CA",39583,5794
16000US0631288,"Grimes, CA",41857,11351
16000US0631302,"Grizzly Flats, CA",44390,10666
16000US0631372,"Groveland, CA",20179,18652
16000US0631393,"Grover Beach, CA",58895,8034
16000US0631414,"Guadalupe, CA",41907,5864
16000US0631470,"Guerneville, CA",46912,11766
16000US0631540,"Guinda, CA",0,0
16000US0631568,"Gustine, CA",37770,7494
16000US0631596,"Hacienda Heights, CA",79265,3868
16000US0631708,"Half Moon Bay, CA",106211,6495
16000US0631883,"Hamilton Branch, CA",58529,8070
16000US0631890,"Hamilton City, CA",38125,8644
16000US0631960,"Hanford, CA",51231,3364
16000US0632030,"Happy Camp, CA",23667,8301
16000US0632044,"Harbison Canyon, CA",84181,8684
16000US0632156,"Hardwick, CA",0,0
16000US0632324,"Hartland, CA",0,0
16000US0632340,"Hartley, CA",89235,15131
16000US0632385,"Hasley Canyon, CA",107708,10177
16000US0632408,"Hat Creek, CA",43906,34244
16000US0632506,"Hawaiian Gardens, CA",36026,4889
16000US0632548,"Hawthorne, CA",45089,1581
16000US0632562,"Hayfork, CA",24844,11171
16000US0633000,"Hayward, CA",68138,1989
16000US0633056,"Healdsburg, CA",69709,5710
16000US0633084,"Heber, CA",42647,18390
16000US0633182,"Hemet, CA",35609,1584
16000US0633294,"Herald, CA",122361,47043
16000US0633308,"Hercules, CA",103044,4654
16000US0633336,"Herlong, CA",49250,3521
16000US0633364,"Hermosa Beach, CA",121345,11438
16000US0633434,"Hesperia, CA",46446,2092
16000US0633504,"Hickman, CA",49583,8648
16000US0633518,"Hidden Hills, CA",211250,69849
16000US0633532,"Hidden Meadows, CA",90536,17385
16000US0633549,"Hidden Valley Lake, CA",66411,9130
16000US0633574,"Highgrove, CA",45948,12654
16000US0633588,"Highland, CA",53504,6735
16000US0633633,"Highlands-Baywood Park, CA",162552,18993
16000US0633798,"Hillsborough, CA",216292,20559
16000US0633861,"Hilmar-Irwin, CA",54302,5656
16000US0633935,"Hiouchi, CA",95313,42572
16000US0634120,"Hollister, CA",71948,2774
16000US0634246,"Holtville, CA",28115,6662
16000US0634281,"Home Garden, CA",33125,8462
